,AC1R1.raw,AC1R2.raw,AC1R3.raw,AC2R1.raw,AC2R2.raw,AC2R3.raw,AHFD1R1.raw,AHFD1R2.raw,AHFD1R3.raw,AHFD2R1.raw,AHFD2R2.raw,AHFD2R3.raw,AHFD3IPR1.raw,AHFD3IPR2.raw,AHFD3IPR3.raw,AHFD4IPR1.raw,AHFD4IPR2.raw,AHFD4IPR3.raw,AHFD5PioR1.raw,AHFD5PioR2.raw,AHFD5PioR3.raw,AHFD6PioR1.raw,AHFD6PioR2.raw,AHFD6PioR3.raw,AHFD7CrR1.raw,AHFD7CrR2.raw,AHFD7CrR3.raw,AHFD8CrR1.raw,AHFD8CrR2.raw,AHFD8CrR3.raw
Q5XIF6,31.0153055440453,30.2257664434419,30.8071819564442,30.9400590127516,31.565825311335,30.3691841747343,30.4886055996406,30.1235864062294,31.2432815452614,31.2972348612414,30.1346003750874,30.7196583923532,31.2539447803961,31.4130791768758,30.4778423160745,31.1004617521436,31.0318338988449,31.3279608298993,30.8675636181655,30.7776230471794,30.9713028849155,31.1194244402021,30.9686473744068,30.1555929982441,31.2467755074741,31.2786228707159,30.2427684569362,30.8052883308631,30.5452878604628,31.2836640086791
Q6P9T8,26.7330659483314,25.3074167089524,26.3273067509274,26.9323480096644,28.2021192563143,25.9622536047243,27.5036893000082,25.7010043482168,27.8850129447957,28.0527271113617,26.6295419598899,26.6570800980131,27.9334629895154,27.957303653185,26.683902000132,27.8244636910373,27.8290057045043,27.833786540466,27.3460156757328,27.4613303650942,27.852727437365,27.8021692602284,28.0612937103186,26.6898727487282,27.6577907662923,27.8790720848228,26.0607835364702,27.4641959986513,26.5731094458026,28.0156415484247
Q6AYZ1,33.0546094196256,32.0748585690858,32.7403668261859,33.0211085721798,33.7292150522958,32.839146501283,32.6909634015248,32.3895959588373,33.5259458776162,33.2770259883959,32.2668455676699,32.9150346013385,33.3131306652371,33.6155694069319,32.6005155399519,33.1345757405291,32.9583170828234,33.2139213929562,33.1952922360269,32.7581605242974,32.8874240596314,33.0521099277719,32.6656035715323,32.2946436018169,33.1920896451496,33.2568656780181,32.3738666648897,32.8501395940209,32.6418418933098,33.3759097070618
P10719,29.7912067207894,29.7757320398914,29.7948714667406,30.2720558571104,30.6536881330419,30.2043071936662,30.7059287291357,30.2289616316242,30.7620388901032,30.4304662354605,29.7200816122779,30.0699017843084,30.5272489561774,30.8059367630787,30.1736135837041,30.5554324241864,30.304740598597,30.3693129534496,30.6839041343485,30.2935415394155,30.5843843138266,30.4854327875675,30.3631089028579,30.4364074613048,30.815103534809,30.6026550460672,29.9033289769094,30.5519322841488,30.322419129843,30.5456786407751
Q68FR8,29.797600323843,29.1267855974543,29.5415862354185,29.6322929437418,30.0049466186434,29.5303746583272,28.9664833558709,29.1664954719169,29.8468294049911,29.852706869111,29.5944861299185,29.6410589261256,29.8554586660697,30.0048968350951,29.6070130913524,29.8361567991231,29.6477109404396,29.6763097477752,29.6819287955285,28.5244397533256,29.4551156124854,29.7769706080901,29.4866568592899,29.0386194854801,29.3491292397617,29.8479928507852,29.7275158972748,29.260403846586,29.6014293558919,29.9342447681229
P38650,31.9072067477434,31.8253812664761,31.8855590768984,31.6861908994904,31.5598879327443,31.9003846705506,31.2900622786916,31.8650025284916,31.4486871976847,31.2923141872473,31.47711372313,31.7024475670283,31.4097729150726,31.5011452804397,31.3712149496182,31.3697697256634,31.3949976557802,31.4432188123703,31.5236046422328,31.6229441825371,31.2856455068989,31.3583422127581,31.320272440682,31.3809753473964,31.3314080303365,31.3893892907155,31.6508676937744,31.4603800168236,31.5335175511244,31.4510389407854
P15999,30.834704833757,30.6125391558281,30.8066743235071,31.0229369289445,31.4591959257251,30.9936709032939,31.4550232869705,31.0744423625455,31.6231326641791,31.2205920175564,30.5082395823884,31.0442834167102,31.2884377727685,31.6169634351156,30.8683381124585,31.3629672333186,31.1170619433233,31.2499457286942,31.4594156013897,30.8163248865786,31.3223240622082,31.228076784693,31.2002007759226,31.2133936248938,31.593093226643,31.3513871725085,30.7641496764661,31.3916707846212,31.1092110951692,31.4605399152592
P63018,30.2918931677053,30.4605189876242,30.297974017059,30.5707251697699,30.8213417241208,30.5065811362419,30.8251973468052,30.6521318889337,30.8572398754835,30.5863055582584,30.141094547543,30.4265356750774,30.6982911833037,30.9788492933498,30.4550963538105,30.5831594705247,30.499332871879,30.5753270126101,30.8833741336518,31.1812700686138,30.7497139802248,30.7672245661017,30.512744720752,30.5788412169588,30.9515036520915,30.7835157237661,30.319869620462,30.7394326770075,30.6071992424913,30.6938286197282
Q9ER34,30.645711275081,30.288141434168,30.6579361480532,30.4063542579496,30.6157842220561,30.437727475868,30.5953602907676,30.3671335239828,30.7106451741006,30.4906240821741,30.1892026719635,30.4075933708229,30.431798872064,30.7022120854979,30.2879875766872,30.5402846434264,30.3412512802394,30.5117796006359,30.598883386423,30.4110126712729,30.5371462975998,30.5332313273801,30.2941585862112,30.3464680920554,30.6543549540338,30.433689504353,30.1856314750393,30.4314043700822,30.2672589124131,30.4244156152265
Q4QRB4,27.9591796148271,27.1250039000434,27.3503436464218,27.7833298041464,28.6985298559043,27.1032257395413,28.4244635930995,26.9777105693589,28.5092553333682,28.6013992766211,27.452545077741,27.5493255375747,28.6350798873368,28.4538000411328,27.9492423689815,28.5460606742019,28.5306590189702,28.6716347365385,28.2690636636395,27.7626506004289,28.6388076123138,28.5072151961305,28.473431199226,27.6292009505948,28.3528888910427,28.571321346529,27.237734224277,28.0800154523387,27.7532981361546,28.5473598461187
P21575,30.0090859375683,30.0089730521869,29.9180119716939,30.2252601212388,30.6119138660438,30.3505543864697,30.225078326918,30.2084890818344,30.4959844629614,30.3649346018128,30.2279182939019,30.2168107379569,30.343840980337,30.5352345857909,30.1178417090627,30.212703407839,30.1979867228759,30.2475376189297,30.2383529931328,30.6122833899609,30.1962420897253,30.3186739167972,30.0365148242668,30.1679803001031,30.6558436520335,30.3020682964263,29.8930518174313,30.2562162116252,30.1250632912626,30.2431523835463
P07335,30.6220495896434,31.1822217791401,30.6449081811434,31.280039678319,31.6377072122567,31.0909520747709,31.0534428616919,31.3740939191057,31.5241013051401,30.9862209816961,30.4902196249533,31.1680398264469,31.3102016296461,31.4218614081403,30.8085131144205,31.3182913932967,31.0575380587258,31.2984682421936,31.2033040461049,31.9366141361391,31.1992266673734,31.4006862775084,30.9828884643818,31.1311677724465,31.6967333749554,31.4229130846501,30.8368564415659,31.2968768338563,31.0255316343742,31.2001765881762
P04764,28.7982097203806,29.0404709602367,28.6091703707937,29.5141756206321,29.7170761402793,28.9113579092567,29.884464871506,29.1856412422341,29.7435660239379,29.8482600850818,29.2524302560265,29.1401612319468,29.7491246540651,30.1166465450903,29.396713974238,29.697552491022,29.8990442169684,29.6647312507855,29.9407495714914,30.2008726249641,29.8280737159686,29.9480798958735,29.8790048760134,29.7757315106925,29.9152946853225,29.8281459721064,28.9894401868772,29.8926924839768,29.4065454379919,29.6969501714925
