"Protein","Symbol","FC_hfd","FC_pio","FC_ip","FC_cr","RescuePct_Pio","RescuePct_IP","RescuePct_Cr"
"Q9QZA2","Pdcd6ip",-0.574432079635589,-0.138570573169524,-0.0545622734906068,0.113215775123376,-24.1230561596475,-9.49847256532405,19.7091665206439
"Q9JI12","Slc17a6",-0.464897251028408,0.113925209009338,0.244577674682553,-0.0332580395574453,24.5054598101671,52.6089741639724,-7.15384732516154
"Q5BKC9","Ngef",-0.71817359971158,-0.0990413752393344,0.0175171876518689,-0.0019320995639198,-13.7907290492312,2.43912999014498,-0.269029600182426
"Q9JJK1","Gpm6b",-0.604181870596243,-0.181249268559039,0.11408598127008,-0.0877489805798,-29.99912400221,18.8827217138265,-14.523603711115
"P48004","Psma7",-0.521123794852713,-0.358102492061235,-0.166530040504153,-0.114123306040572,-68.7173557604382,-31.9559463891339,-21.8994617340064
"P19490","Gria1",-0.383563443195374,-0.0787031588637639,-0.171282056295453,-0.0943337217257643,-20.5189415884129,-44.6554694755433,-24.5940335032695
"Q63413","Ddx39b",-0.512033132457201,-0.191009857126964,-0.0053705208316614,-0.0437275317457804,-37.3041986971282,-1.04886197615548,-8.53998090630111
"B0K020","Cisd1",1.35820334034965,-0.319492956199895,0.0883896678763101,0.0952986234379338,23.5232050097628,-6.50783761535702,-7.0165210618169
"P38406","Gnal",-0.573863984958557,-0.0705401011515576,0.0797249663808977,-0.010145626037751,-12.2921289714063,13.8926589698176,-1.76794960193986
"P26453","Bsg",0.562336532259916,-0.29501332691142,-0.428288053758706,-0.434944432458089,52.4620596363927,76.1622319000872,77.3459321076182
"Q53B90","Rab43",-0.467752154880667,-0.11194146810637,-0.209443195703518,-0.0577202743469591,-23.9317910004987,-44.7765325115287,-12.3399269772867
"P51156","Rab26",-0.963420453656301,-0.155989364061732,0.0478818407501862,-0.0767447426160004,-16.191203276797,4.96998382881209,-7.96586187523262
"O35458","Slc32a1",0.867889604178611,-0.166535273043998,-0.0205256123994282,-0.274767300448907,19.1885318411678,2.36500268013396,31.659245499196
"Q63100","Dync1i1",0.477180164527716,-0.0698754801134847,-0.0058632081316183,0.0686862898192686,14.6434167444163,1.22872000294089,-14.3942047312989
"B2GV54","Nceh1",0.75466447270021,-0.0169972502705775,-0.169191819461808,-0.0522971234356007,2.252292361102,22.4194758839561,6.92985099039845
"Q9Z0J8","Negr1",-0.727739727861476,-0.368119919750416,-0.0600168631889773,-0.175063101250117,-50.5840076688086,-8.2470230621244,-24.0557296170369
"Q64057","Aldh7a1",0.471864689658787,0.0583189331894474,0.093041091003915,0.0343287184999816,-12.3592492652118,-19.7177481263102,-7.27511917130423
"P04904","Gsta1",-0.443224592317417,0.0881206588804346,0.280052480945653,0.253816724112987,19.8817169461858,63.1852306482787,57.265938874442
"B0BNM9","Gltp",0.621566840561936,0.367623629132531,0.0923715931387612,-0.0296909181353691,-59.1446655680949,-14.8610876756636,4.77678605064045
"Q6LED0","Hist1h2ail1",0.577778927862404,0.09771983347391,-0.203510103317331,-0.124331808150835,-16.9130144353727,35.2228323850876,21.5189239612498
"Q505J6","Slc25a18",0.489512957025035,-0.0739666250065305,0.0682654122897191,-0.175108123276715,15.1102486553278,-13.9455782140263,35.7719077225078
"Q6QLM7","Kif5a",0.605210434167606,0.206725687440752,0.016718653661016,-0.0499562972435967,-34.1576542256873,-2.76245297786554,8.25436813763886
