"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009166","nucleotide catabolic process",10,0.681891447863302,1.71974482577279,0.00581156343843739,0.191334550127016,0.182817198043152,187,"tags=60%, list=20%, signal=49%","690660/294292/311422/81743/116643/25275"
"GO:1901292","nucleoside phosphate catabolic process",10,0.681891447863302,1.71974482577279,0.00581156343843739,0.191334550127016,0.182817198043152,187,"tags=60%, list=20%, signal=49%","690660/294292/311422/81743/116643/25275"
"GO:0009145","purine nucleoside triphosphate biosynthetic process",19,0.565300736750762,1.75617991740755,0.00617252326103093,0.199384147601603,0.190508463706893,285,"tags=74%, list=30%, signal=53%","245965/25368/24189/171375/641434/170851/83782/24333/116643/171374/65262/191575/690441/94271"
"GO:0044772","mitotic cell cycle phase transition",23,-0.509919178506523,-1.69536924693921,0.00676603768318095,0.210608300247378,0.201232967649056,224,"tags=52%, list=23%, signal=41%","24654/29304/60460/25400/257644/64307/81830/171140/140908/24246/24245/81821"
"GO:1990748","cellular detoxification",28,0.497674945019769,1.67262685591506,0.00667904274787308,0.210608300247378,0.201232967649056,143,"tags=43%, list=15%, signal=38%","689064/117254/25728/24440/29338/117287/25632/64352/24786/24787/64371/94167"
"GO:0097237","cellular response to toxic substance",29,0.496273491073036,1.69110856900951,0.00717378219774351,0.219312770045302,0.209549953670929,143,"tags=41%, list=15%, signal=36%","689064/117254/25728/24440/29338/117287/25632/64352/24786/24787/64371/94167"
"GO:0010564","regulation of cell cycle process",40,-0.436480017357582,-1.66696495789358,0.00748490740570154,0.224809850501071,0.214802328872764,176,"tags=32%, list=18%, signal=28%","60460/29340/257644/29337/24629/29600/81830/24246/29489/114612/24245/81821/501083"
"GO:0043457","regulation of cellular respiration",10,0.672953794364975,1.69720387236083,0.00776289548996315,0.229139259979602,0.218939012548144,291,"tags=90%, list=30%, signal=63%","294362/117287/81743/116643/25309/29507/29384/282819/117273"
"GO:0062012","regulation of small molecule metabolic process",28,0.493209410621465,1.65761872091578,0.00802608638680507,0.229882028455987,0.21964871631862,221,"tags=50%, list=23%, signal=40%","60666/25728/50646/117287/25459/60449/170851/24786/24333/25045/116643/81683/24642/29384"
"GO:0010639","negative regulation of organelle organization",47,-0.406892231957829,-1.60995957162731,0.00805661314682196,0.229882028455987,0.21964871631862,265,"tags=43%, list=28%, signal=32%","25152/29219/155151/114114/170538/367171/361651/24171/29474/257644/24404/58814/25595/84510/64159/25751/81661/29578/114764/24170"
"GO:0009260","ribonucleotide biosynthetic process",41,0.431745832130897,1.60785303132461,0.00820507568537973,0.230280156940494,0.220029121916827,144,"tags=32%, list=15%, signal=28%","245965/25368/24189/171375/298942/81654/641434/289950/170851/83782/24333/298410/117243"
"GO:0062013","positive regulation of small molecule metabolic process",13,0.630543404047841,1.74582293844138,0.0084883795235547,0.234388802327833,0.223954868923667,199,"tags=62%, list=21%, signal=49%","60666/25728/117287/25459/170851/24333/116643/81683"
"GO:0098754","detoxification",29,0.485450859428538,1.6542292163089,0.00902044424597996,0.245126992843138,0.234215043579831,143,"tags=41%, list=15%, signal=36%","689064/117254/25728/24440/29338/117287/25632/64352/24786/24787/64371/94167"
"GO:0009142","nucleoside triphosphate biosynthetic process",20,0.550721893556737,1.71728633608956,0.00970604593761459,0.251687180979593,0.240483201698406,285,"tags=70%, list=30%, signal=50%","245965/25368/24189/171375/641434/170851/83782/24333/116643/171374/65262/191575/690441/94271"
"GO:0044843","cell cycle G1/S phase transition",19,-0.538445344359717,-1.70940506098233,0.00956137632383692,0.251687180979593,0.240483201698406,224,"tags=53%, list=23%, signal=41%","24654/29304/25400/29337/29600/171140/140908/24246/24245/81821"
"GO:0009165","nucleotide biosynthetic process",45,0.411536069942843,1.5664875981157,0.00984990719955181,0.251687180979593,0.240483201698406,293,"tags=51%, list=31%, signal=37%","245965/25368/24189/171375/298942/81654/641434/289950/170851/83782/24333/298410/117243/116643/25289/171374/361596/65262/191575/292072/690441/94271/25014"
